NrKR;ROURO;MURO;RAHF;NRMATKI;RMHF;NROJCA;ROHF;ROKWY;MIEWY;KGMLE;KGT£U;PRT£U;KGBIA£;PRBIA£
78169432;1993;11;0.87;68102634;0.75;2484949;1;1996;5;4087;159;3.88;135;3.31
78167327;1993;3;0.68;68172622;0.37;895342;1;1996;1;4680;225;4.81;150;3.21
78153721;1991;11;0.82;68172413;0.65;2468349;1;1994;3;4623;165;3.57;137;2.96
68124700;1990;9;0.87;68153640;0.75;2468349;1;1993;2;3449;144;4.17;91;2.63
78186873;1994;3;0.76;68102820;0.62;576344;0.9;1996;9;4484;195;4.35;138;3.07
78141685;1991;3;0.75;58101779;0.5;2468349;1;1994;4;5478;193;3.51;158;2.88
78145745;1991;9;0.75;58142876;0.5;2462440;1;1994;12;6453;236;3.66;194;3
78153725;1991;12;0.5;38106007;0.5;2130819;0.5;1994;10;5414;217;4.01;178;3.28
88116398;1997;3;0.87;68124643;0.75;9059549;1;1999;8;5327;256;4.8;183;3.44
88118983;1997;4;0.84;78141664;0.68;1464142;1;1999;8;4856;209;4.31;152;3.13
78168336;1993;1;0.72;78133984;0.62;556209;0.81;1995;8;4343;204;4.7;149;3.43
88116415;1997;1;0.75;78146515;0.5;1464142;1;1999;9;5826;289;4.96;197;3.38
88102924;1995;1;0.93;78146532;0.87;1841142;1;1998;2;5850;216;3.7;191;3.26
78190938;1995;11;0.81;68124919;0.87;1840910;0.75;1998;2;5530;237;4.28;176;3.18
88116381;1996;10;0.75;78141573;0.5;1464142;1;1999;7;6283;319;5.06;226;3.6
88102868;1995;5;0.82;6810289;0.64;1841142;1;1998;1;7523;271;3.6;226;3.01
88102895;1995;11;0.87;68124685;0.75;9034648;1;1998;2;6343;240;3.78;211;3.32
78199418;1995;7;0.87;78146510;0.75;1841142;1;1998;3;7819;357;4.57;278;3.55
78199424;1995;3;0.75;78133941;0.5;9034143;1;1998;2;6313;290;4.59;247;3.92
88118942;1997;2;0.75;78153786;0.5;1464142;1;1999;9;7412;281;3.79;231;3.12
88106440;1996;11;0.68;68102642;0.62;1840910;0.75;1999;3;7402;360;4.87;245;3.31
78133999;1990;12;0.75;48108429;0.5;2477948;1;1993;9;5822;207;3.56;163;2.8
